machineid,datasetid,queryid,compilerid,layoutid,implementationid,timeid,runtime
0,0,0,3,5,3,2,1.201037
0,0,0,3,5,3,2,1.201014
0,0,0,3,5,3,2,1.20359
0,0,0,3,6,3,2,1.409854
0,0,0,3,6,3,2,1.407946
0,0,0,3,6,3,2,1.407242
0,0,0,3,6,3,2,1.41256
0,0,0,3,6,3,2,1.41027
0,0,0,3,7,3,2,1.269578
0,0,0,3,7,3,2,1.270524
0,0,0,3,7,3,2,1.271483
0,0,0,3,7,3,2,1.269481
0,0,0,3,7,3,2,1.269205
0,0,0,3,8,3,2,1.225008
0,0,0,3,8,3,2,1.227146
0,0,0,3,8,3,2,1.224641
0,0,0,3,8,3,2,1.224436
0,0,0,3,8,3,2,1.226602
0,0,0,3,9,3,2,1.207756
0,0,0,3,9,3,2,1.20538
0,0,0,3,9,3,2,1.205462
0,0,0,3,9,3,2,1.205443
0,0,0,3,9,3,2,1.207312
0,0,0,3,10,3,2,1.207142
0,0,0,3,10,3,2,1.204685
0,0,0,3,10,3,2,1.2047
0,0,0,3,10,3,2,1.206962
0,0,0,3,10,3,2,1.204697
0,0,0,3,11,3,2,1.313692
0,0,0,3,11,3,2,1.313484
0,0,0,3,11,3,2,1.315376
0,0,0,3,11,3,2,1.313374
0,0,0,3,11,3,2,1.313778
0,0,0,3,12,3,2,1.257266
0,0,0,3,12,3,2,1.25906
0,0,0,3,12,3,2,1.254669
0,0,0,3,12,3,2,1.256316
0,0,0,3,12,3,2,1.25976
0,0,0,3,13,3,2,1.177395
0,0,0,3,13,3,2,1.17495
0,0,0,3,13,3,2,1.174715
0,0,0,3,13,3,2,1.174947
0,0,0,3,13,3,2,1.176975
0,1,0,3,9999,2,3,0.391164
0,1,0,3,9999,2,3,0.390769
0,1,0,3,9999,2,3,0.390889
0,1,0,3,9999,2,3,0.390865
0,1,0,3,9999,2,3,0.390712
0,1,0,3,2,2,3,0.458812
0,1,0,3,2,2,3,0.458696
0,1,0,3,2,2,3,0.458697
0,1,0,3,2,2,3,0.461051
0,1,0,3,2,2,3,0.4587
0,1,0,3,3,2,3,0.40775
0,1,0,3,3,2,3,0.40558
0,1,0,3,3,2,3,0.405974
0,1,0,3,3,2,3,0.405503
0,1,0,3,3,2,3,0.405621
0,1,0,3,4,2,3,0.394344
0,1,0,3,4,2,3,0.39417
0,1,0,3,4,2,3,0.394385
0,1,0,3,4,2,3,0.394266
0,1,0,3,4,2,3,0.394288
0,1,0,3,5,2,3,0.423193
0,1,0,3,5,2,3,0.423984
0,1,0,3,5,2,3,0.42406
0,1,0,3,5,2,3,0.423555
0,1,0,3,5,2,3,0.425005
0,1,0,3,6,2,3,0.433752
0,1,0,3,6,2,3,0.433414
0,1,0,3,6,2,3,0.435984
0,1,0,3,6,2,3,0.4334
0,1,0,3,6,2,3,0.433558
0,1,0,3,7,2,3,0.443859
0,1,0,3,7,2,3,0.443935
0,1,0,3,7,2,3,0.44381
0,1,0,3,7,2,3,0.44405
0,1,0,3,7,2,3,0.444428
0,1,0,3,8,2,3,0.45324
0,1,0,3,8,2,3,0.453381
0,1,0,3,8,2,3,0.453235
0,1,0,3,8,2,3,0.453218
0,1,0,3,8,2,3,0.45332
0,1,0,3,9,2,3,0.597766
0,1,0,3,9,2,3,0.596714
0,1,0,3,9,2,3,0.599045
0,1,0,3,9,2,3,0.597059
0,1,0,3,9,2,3,0.597256
0,1,0,3,10,2,3,0.527304
0,1,0,3,10,2,3,0.527135
0,1,0,3,10,2,3,0.527245
0,1,0,3,10,2,3,0.527067
0,1,0,3,10,2,3,0.527213
0,1,0,3,11,2,3,0.342214
0,1,0,3,11,2,3,0.342074
0,1,0,3,11,2,3,0.342181
0,1,0,3,11,2,3,0.342051
0,1,0,3,11,2,3,0.342138
0,1,0,3,12,2,3,0.342917
0,1,0,3,12,2,3,0.34283
0,1,0,3,12,2,3,0.342806
0,1,0,3,12,2,3,0.345207
